No.,Word,Việt Note,Phonetics,Note,Example,Type,Level
1432,expression,"sự bày tỏ, sự biểu lộ, sự biểu cảm",/ɪkˈspreʃn/,"things that people say, write or do in order to show their feelings, opinions and ideas",The actor's facial expression perfectly conveyed the character's emotions.,noun,A2
1433,extend,"kéo dài, mở rộng",/ɪkˈstend/,to make something longer or larger,I plan to extend my stay in Paris for another week.,verb,B2
1434,extension,"sự kéo dài, sự mở rộng",/ɪkˈstenʃn/,"the fact of reaching, stretching, or continuing; the act of adding to something in order to make it bigger or longer",The extension of police powers in the province has been heavily criticized.,noun,B2
1435,extensive,"rộng, rộng lớn",/ɪkˈstensɪv/,covering a large area; great in amount,The house has extensive grounds.,adjective,B2
1436,extent,"phạm vi, quy mô",/ɪkˈstent/,the physical size of an area,You can't see the full extent of the beach from here.,noun,B2
1437,external,"ngoài, ở bên ngoài",/ɪkˈstɜːnl/,connected with or located on the outside of something/somebody,The external appearance of the building was quite impressive.,adjective,B2
1438,extra,"thêm, phụ, ngoài",/ˈekstrə/,"more than is usual, expected, or than exists already",Can I get an extra side of fries with my order?,adjective,A1
1439,extraordinary,"lạ thường, khác thường, phi thường",/ɪkˈstrɔːdnri/,"unexpected, surprising or strange",The athlete's performance was truly extraordinary.,adjective,B2
1440,extreme,"cùng, cùng cực",/ɪkˈstriːm/,very great in degree,We are working under extreme pressure at the moment.,adjective,B2
1441,extremely,cực kỳ,/ɪkˈstriːmli/,to a very high degree,It is extremely important to follow the directions exactly.,adverb,A2
1442,fabric,vải,/ˈfæbrɪk/,"material made by weaving wool, cotton, silk, etc., used for making clothes, curtains, etc. and for covering furniture",They sell a wide variety of printed cotton fabric.,noun,B2
1443,facility,"cơ sở vật chất, những tiện nghi",/fəˈsɪləti/,"buildings, services, equipment, etc. that are provided for a particular purpose",The new sports facility includes a state-of-the-art gym and swimming pool.,noun,B2
1444,fact,sự thật,/fækt/,"a thing that is known to be true, especially when it can be proved",It is a well-known fact that smoking is bad for your health.,noun,A1
1445,factor,nhân tố,/ˈfæktə(r)/,one of several things that cause or influence something,Obesity is a major risk factor for heart disease.,noun,A2
1446,factory,xí nghiệp; nhà máy,/ˈfæktri/ /ˈfæktəri/,"a building or group of buildings where goods are made, mainly by machine","The factory produces over 1,000 units of the product per day.",noun,A2
1447,faculty,"cán bộ giảng dạy của khoa, trường",/ˈfæklti/,"the teaching staff of a school, college, or university, or the collective group of individuals who have a particular skill or expertise in a certain area",The faculty at the university is highly regarded for their expertise in their respective fields.,noun,C1
1448,fade,"nhạt, phai, tàn",/feɪd/,to become or to make something become paler or less bright,The curtains had faded in the sun.,verb,C1
1449,fail,thất bại,/feɪl/,to not be successful in achieving something,Many diets fail because they are boring.,verb,B2
1450,failure,sự thất bại; lần thất bại; người thất bại,/ˈfeɪljər/,lack of success in doing or achieving something,The success or failure of the plan depends on you.,noun,B2
1451,fair,"công bằng, không thiên vị; đúng",/fer/,treating everyone equally and according to the rules or law,Why should I have to do all the cleaning? It's not fair!,adjective,A2
1452,fairly,"(một cách) công bằng, (một cách) đúng đắn",/ˈfeəli/,in a fair and reasonable way; honestly,He claimed that he hadn't been treated fairly by his employers.,adverb,B1
1453,faith,"sự tin tưởng, sự tin cậy; niềm tin",/feɪθ/,trust in somebody’s ability or knowledge; trust that somebody/something will do what has been promised,"If the company can retain its customers' faith, it could become the market leader.",noun,B2
1454,fall,rơi,/fɔːl/,to drop down from a higher level to a lower level,The rain was falling steadily.,verb,A1
1455,false,"sai, nhầm",/fɔːls/,wrong; not correct or true,Lagos is the capital of Nigeria. True or false?,adjective,A1
1456,familiar,"biết rõ cái gì, quen thuộc",/fəˈmɪliə(r)/,"to have knowledge or experience of something, or to be well-acquainted or recognizable with someone or something",There were one or two familiar faces.,adjective,B1
1457,family,gia đình,/ˈfæməli/,a group consisting of one or two parents and their children,I introduced Neil to the other members of my family.,noun,A1
1458,famous,"nổi tiếng, nổi danh",/ˈfeɪməs/,known about by many people,The museum is home to many famous works of art.,adjective,A1
1459,fantasy,khả năng tưởng tượng; hình ảnh tưởng tượng,/ˈfæntəsi/,a pleasant situation that you imagine but that is unlikely to happen,He spoke of his childhood fantasies about becoming a famous football player.,noun,B2
1460,farm,"trại, nông trại; trang trại",/fɑːm/,"an area of land, and the buildings on it, used for growing crops and/or keeping animals",My grandparents live on a farm in the countryside.,noun,A1
1461,farmer,nông dân,/ˈfɑːmə(r)/,a person who owns or manages a farm,My parents are dairy farmers.,noun,A1
1462,fashion,"thời trang, mốt; phong cách",/ˈfæʃn/,"a popular style of clothes, hair, etc. at a particular time or place; the state of being popular",The fashion industry is constantly evolving with new trends and styles.,noun,A2
1463,fate,"định mệnh, số phận",/feɪt/,the power that is believed to control everything that happens and that cannot be stopped or changed,The fate of the three men is unknown.,noun,C1
1464,fault,lỗi,/fɔːlt/,the responsibility for something wrong that has happened or been done,Why should I say sorry when it's not my fault?,noun,B2
1465,favor,"sự giúp đỡ, sự che chở, sự ủng hộ",/ˈfeɪ.vɚ/,a thing that you do to help somebody,Can you do me a favor?,noun,B2
1466,favorite,"mến chuộng, ưa thích, yêu thích",/ˈfeɪ.vər.ət/,best liked or most enjoyed,This is one of my favorite restaurants.,adjective,
1467,fear,sự sợ hãi; sự khiếp sợ,/fɪə(r)/,the bad feeling that you have when you are in danger or when a particular thing frightens you,Her eyes showed no fear.,noun,A2
1468,feature,nét đặc trưng,/ˈfiːtʃə(r)/,"something important, interesting or typical of a place or thing",An interesting feature of the city is the old market.,noun,A2
1469,federal,(thuộc) liên bang,/ˈfedərəl/,"having a system of government in which the individual states of a country have control over their own affairs, but are controlled by a central government for national decisions, etc.",The federal government is responsible for enforcing national laws and policies.,adjective,B2
1470,fee,"tiền thù lao (trả cho luật sư, bác sĩ, thầy dạy tư…)",/fiː/,an amount of money that you pay for professional advice or services,Employees are reimbursed for any legal fees incurred when they relocate.,noun,B2
1471,feed,"cho ăn, nuôi",/fiːd/,to give food to a person or an animal,Have you fed the cat yet?,verb,A2
1472,feel,"thấy, cảm thấy",/fiːl/,to experience a particular feeling or emotion,The bus ride made me feel sick.,verb,A1
1473,feeling,cảm giác,/ˈfiːlɪŋ/,something that you feel through the mind or through the senses,I have a good feeling about this job interview.,noun,A1
1474,fellow,"bạn bè, đồng chí",/ˈfeləʊ/,"a person who shares a common interest, background, or status with another person or group",Her fellows share her interest in English.,noun,C2
1475,female,"phụ nữ, con gái",/ˈfiːmeɪl/,a woman or a girl,The suspect is a white female aged 30–35.,noun,A2
1476,fence,hàng rào,/fens/,"a structure made of wood or wire supported with posts that is put between two areas of land as a boundary, or around a garden, field, etc. to keep animals in, or to keep people and animals out",The two women chatted over the garden fence.,noun,B1
1477,fewer,"ít hơn, nhỏ hơn",/ˈfjuːər/,"a small number of people, things or places",Fewer than 20 students passed all the exams.,adverb,A1
1478,fiber,"(sinh vật học) sợi, thớ",/ˈfaɪbər/,a material such as cloth or rope that is made from a mass of natural or artificial threads,Cotton is a natural fiber used to produce textiles.,noun,C1
1479,fiction,"văn hư cấu, viễn tưởng",/ˈfɪkʃn/,"a type of literature that describes imaginary people and events, not real ones",I enjoy reading science fiction novels in my free time.,noun,A2
1480,field,"đồng ruộng, cánh đồng",/fiːld/,"an area of land in the country used for growing crops or keeping animals in, usually surrounded by a fence, etc.",We had to walk across a ploughed field.,noun,A2
1481,fight,"đấu tranh, chiến đấu; đánh nhau",/faɪt/,to take part in a war or battle against an enemy,The two boxers will fight in the championship match next month.,verb,A2
1482,fighter,"máy bay tiêm kích, máy bay chiến đấu",/ˈfaɪtər/,a fast military plane designed to attack other aircraft,The fighter pilot successfully completed his mission.,noun,C1
1483,fighting,"sự đấu tranh, sự chiến đấu, sự giao tranh",/ˈfaɪtɪŋ/,the activity of being involved in a battle against an enemy,Fighting broke out in three districts of the city last night.,noun,B1
1484,figure,"con số, hình minh họa, dáng vẻ",/ˈfɪɡə(r)/," a number or numerical symbol, a person's physique or body shape, or a shape or form of an object or design",The math problem required me to calculate the figure of the triangle.,noun,B2
1485,file,"(vi tính) tập tin, tệp tin",/faɪl/,"a collection of information stored together in a computer, under a particular name",Please make sure to save your work and close the file before shutting down your computer.,noun,B1
1486,fill,"làm đầy, đổ đầy, rót đầy, đắp đầy",/fɪl/,to make something full of something; to become full of something,Please fill this glass for me.,verb,A1
